zone,seq,ts,severity,detector,diagnosis,action,n_triggered,trigger_sensors
Zone-C,2,1780126951.864097,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,3,1780126951.864104,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,4,1780126951.86411,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,5,1780126951.864117,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,6,1780126951.8641238,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,7,1780126951.86413,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,8,1780126951.864137,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,9,1780126951.8641431,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,10,1780126951.86415,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,11,1780126951.864156,Warning,zscore,Heating loss or unintended ventilation,Check heating loop status and damper positions; inspect for an open door or window in the zone.,1,temperature
Zone-C,12,1780126951.8641632,Critical,hard,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-C,13,1780126951.864171,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,14,1780126951.864179,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,15,1780126951.864186,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,16,1780126951.864192,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,17,1780126951.864199,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,18,1780126951.864204,Critical,zscore,Peak power load event,Identify the high-consumption circuit and consider load shedding non-critical equipment; verify no inrush from compressor restart.,1,power
Zone-C,19,1780126951.864209,Critical,hard,Peak power load event,Identify the high-consumption circuit and consider load shedding non-critical equipment; verify no inrush from compressor restart.,1,power
Zone-C,20,1780126951.864216,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,21,1780126951.8642216,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,22,1780126951.864227,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,23,1780126951.864233,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,24,1780126951.8642402,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,25,1780126951.8642461,Critical,hard+iforest,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,3,"power,temperature,co2"
Zone-C,26,1780126951.864254,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,27,1780126951.8642612,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,28,1780126951.864267,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,29,1780126951.864274,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,30,1780126951.86428,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,31,1780126951.864287,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,32,1780126951.864293,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,33,1780126951.8643,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,34,1780126951.8643079,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,35,1780126951.864314,Critical,hard+iforest,HVAC cooling failure,Inspect chiller and cooling tower status; verify supply-air temperature set-point; switch to backup AHU if available.,3,"temperature,humidity,co2"
Zone-C,36,1780126951.864322,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,37,1780126951.8643274,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,38,1780126951.8643332,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,39,1780126951.8643389,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,40,1780126951.864345,Warning,zscore,Unclassified anomaly,Review the listed sensor trip values and follow zone runbook.,1,power
Zone-C,41,1780126951.864352,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,42,1780126951.864358,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,43,1780126951.864365,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,44,1780126951.864371,Critical,hard+iforest,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-C,45,1780126951.864377,Critical,zscore,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-C,46,1780126951.864383,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,47,1780126951.86439,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,48,1780126951.864397,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,49,1780126951.864403,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,50,1780126951.8644102,Critical,hard+zscore+iforest,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,3,"power,temperature,co2"
Zone-C,51,1780126951.864418,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,52,1780126951.864424,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,53,1780126951.8644295,Critical,hard+zscore,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,3,"power,temperature,co2"
Zone-C,54,1780126951.864435,Critical,hard+zscore+iforest,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,3,"power,temperature,co2"
Zone-C,55,1780126951.8644428,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,56,1780126951.8644512,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,57,1780126951.864458,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,58,1780126951.864465,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,59,1780126951.864471,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,60,1780126951.8644779,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,61,1780126951.864484,Critical,hard,HVAC cooling failure,Inspect chiller and cooling tower status; verify supply-air temperature set-point; switch to backup AHU if available.,3,"temperature,humidity,co2"
Zone-C,62,1780126951.864492,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,63,1780126951.8644989,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,64,1780126951.864505,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,65,1780126951.864512,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,66,1780126951.864518,Warning,zscore,Temperature drift,Verify set-point compliance and inspect zone VAV box.,1,temperature
Zone-C,67,1780126951.864525,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,68,1780126951.864531,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,69,1780126951.8645382,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,70,1780126951.864544,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,71,1780126951.8645499,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,72,1780126951.864557,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,73,1780126951.864563,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,74,1780126951.8645701,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,75,1780126951.864577,Critical,hard+iforest,Heating loss or unintended ventilation,Check heating loop status and damper positions; inspect for an open door or window in the zone.,2,"temperature,humidity"
Zone-C,76,1780126951.864584,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,77,1780126951.8645911,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,78,1780126951.864598,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,79,1780126951.864604,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,80,1780126951.8646111,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,81,1780126951.8646169,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,82,1780126951.864624,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,83,1780126951.86463,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,84,1780126951.864636,Critical,hard+iforest,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,3,"power,temperature,co2"
Zone-C,85,1780126951.864645,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,86,1780126951.864651,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,87,1780126951.8646579,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,88,1780126951.864664,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,89,1780126951.864671,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,90,1780126951.8646772,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,91,1780126951.864684,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,92,1780126951.864691,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,93,1780126951.8646982,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,94,1780126951.864705,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,95,1780126951.8647106,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,96,1780126951.864716,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,97,1780126951.8647215,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,98,1780126951.864727,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,99,1780126951.864733,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,100,1780126951.8647401,Critical,hard,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-C,101,1780126951.864747,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,102,1780126951.864752,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,103,1780126951.864757,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,104,1780126951.864762,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,105,1780126951.8647676,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,106,1780126951.864773,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,107,1780126951.864778,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,108,1780126951.864783,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,109,1780126951.86479,Warning,zscore,Peak power load event,Identify the high-consumption circuit and consider load shedding non-critical equipment; verify no inrush from compressor restart.,1,power
Zone-C,110,1780126951.8647969,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,111,1780126951.864803,Critical,hard,HVAC cooling failure,Inspect chiller and cooling tower status; verify supply-air temperature set-point; switch to backup AHU if available.,3,"temperature,humidity,co2"
Zone-C,112,1780126951.864811,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,113,1780126951.8648179,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,114,1780126951.864824,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,115,1780126951.864831,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,116,1780126951.8648372,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,117,1780126951.864844,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,118,1780126951.8648498,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,119,1780126951.8648572,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,120,1780126951.864863,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,121,1780126951.8648698,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,122,1780126951.864876,Warning,zscore,Elevated CO₂ — ventilation review,Raise outdoor-air damper position and verify exhaust-fan status.,1,co2
Zone-C,123,1780126951.864883,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,124,1780126951.8648891,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,125,1780126951.864896,Critical,hard+iforest,Heating loss or unintended ventilation,Check heating loop status and damper positions; inspect for an open door or window in the zone.,2,"temperature,humidity"
Zone-C,126,1780126951.864904,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,127,1780126951.8649101,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,128,1780126951.8649156,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,129,1780126951.864921,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,130,1780126951.864927,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,131,1780126951.864934,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,132,1780126951.86494,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,133,1780126951.8649468,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,134,1780126951.864953,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,135,1780126951.86496,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,136,1780126951.864966,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,137,1780126951.8649719,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,138,1780126951.8649778,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,139,1780126951.864985,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,140,1780126951.864992,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,141,1780126951.8649988,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,142,1780126951.865005,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,143,1780126951.865011,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,144,1780126951.8650181,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,145,1780126951.865024,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,146,1780126951.865031,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,147,1780126951.865037,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,148,1780126951.8650427,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,149,1780126951.8650482,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,150,1780126951.865054,Critical,hard+iforest,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,3,"power,temperature,co2"
Zone-C,151,1780126951.865062,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,152,1780126951.8650692,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,153,1780126951.865078,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,154,1780126951.865084,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,155,1780126951.865091,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,156,1780126951.865096,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,157,1780126951.865101,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,158,1780126951.865108,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,159,1780126951.8651142,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,160,1780126951.8651211,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,161,1780126951.8651268,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,162,1780126951.865134,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,163,1780126951.86514,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,164,1780126951.8651469,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,165,1780126951.865153,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,166,1780126951.8651586,Critical,zscore,HVAC cooling failure,Inspect chiller and cooling tower status; verify supply-air temperature set-point; switch to backup AHU if available.,3,"temperature,humidity,co2"
Zone-C,167,1780126951.865164,Critical,hard+iforest,HVAC cooling failure,Inspect chiller and cooling tower status; verify supply-air temperature set-point; switch to backup AHU if available.,3,"temperature,humidity,co2"
Zone-C,168,1780126951.865173,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,169,1780126951.8651788,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,170,1780126951.865186,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,171,1780126951.865192,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,172,1780126951.865199,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,173,1780126951.865206,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,174,1780126951.865212,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,175,1780126951.8652182,Critical,hard,Peak power load event,Identify the high-consumption circuit and consider load shedding non-critical equipment; verify no inrush from compressor restart.,1,power
Zone-C,176,1780126951.865226,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,177,1780126951.865232,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,178,1780126951.86524,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,179,1780126951.865247,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,180,1780126951.865254,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,181,1780126951.8652601,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,182,1780126951.865265,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,183,1780126951.86527,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,184,1780126951.8652768,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,185,1780126951.865283,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,186,1780126951.865288,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,187,1780126951.865293,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,188,1780126951.8653,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,189,1780126951.8653069,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,190,1780126951.865313,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,191,1780126951.865319,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,192,1780126951.8653262,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,193,1780126951.865334,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,194,1780126951.86534,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,195,1780126951.8653471,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,196,1780126951.8653529,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,197,1780126951.8653598,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-C,198,1780126951.865366,Normal,none,All sensors within nominal operating range.,No action required.,0,
